"region","total","temp_sum","prc_sum","temp_score","prc_score","score"
"Asia",376,108.245442202637,121.067700698494,0.287886814368715,0.321988565687484,0.609875380056199
"East Africa",734,177.929139870317,297.739836675099,0.242410272302885,0.405640104461988,0.648050376764873
"Middle East",77,19.0846200852278,15.4460807310505,0.247852208899062,0.200598451052604,0.448450659951666
"South Africa",248,52.8029076624385,120.809197347117,0.212914950251768,0.487133860270635,0.700048810522403
"West Africa",500,138.638571984599,213.184832051462,0.277277143969198,0.426369664102923,0.703646808072121
