"region","temp_count","prc_count","total","temp_score","prc_score","gs.score"
"Asia",425,145,378,0.102212602212602,0.0639329805996473,0.166145582812249
"East Africa",156,339,734,0.019321278176864,0.0769754768392371,0.0962967550161011
"Middle East",50,5,77,0.0590318772136954,0.0108225108225108,0.0698543880362062
"South Africa",12,49,248,0.00439882697947214,0.0329301075268817,0.0373289345063539
"West Africa",457,62,500,0.0830909090909091,0.0206666666666667,0.103757575757576
