"country","region","num_accessions","prc.score","temp.score","fc.score"
"Botswana","South Africa",40,0.395500021917216,0.128724426268265,0.524224448185481
"Burkina Faso","West Africa",25,1.58606294136302,0.976968728966598,2.56303167032961
"Cameroon","West Africa",28,0.220840622702537,0.414517378393333,0.635358001095869
"China","Asia",73,0.10400834555616,0.139172724405203,0.243181069961364
"Eritrea","East Africa",7,0.254304818495141,0.140622465885908,0.394927284381048
"Ethiopia","East Africa",84,0.669062240550559,0.509456060305789,1.17851830085635
"India","Asia",265,0.40807306231096,0.350051201829611,0.758124264140571
"Kenya","East Africa",32,0.272082566134017,0.277196741164015,0.549279307298032
"Lesotho","South Africa",79,0.0874772942938249,0.0471972334701676,0.134674527763992
"Malawi","South Africa",12,0.687649617577022,0.359115070364636,1.04676468794166
"Mali","West Africa",34,0.770506517294628,0.552903974256818,1.32341049155145
"Nigeria","West Africa",70,0.900680269751987,0.562578197585403,1.46325846733739
"Senegal","West Africa",11,1.20233582120012,0.54286100077147,1.74519682197159
"Somalia","East Africa",17,0.2447955377974,0.24294410547399,0.48773964327139
"South Africa","South Africa",110,0.185267262759764,0.104044878699946,0.28931214145971
"South Sudan","East Africa",12,1.34892330421957,0.411220016453388,1.76014332067296
"Sudan","East Africa",56,1.17405015503796,0.542180381643227,1.71623053668118
"Swaziland","South Africa",62,0.0799113831282654,0.0333139763845518,0.113225359512817
"Togo","West Africa",16,0.314567150108784,0.20633746209016,0.520904612198944
"Turkey","Middle East",13,0.284387217830617,0.281506337985344,0.565893555815961
"Uganda","East Africa",35,2.55621930016027,1.31152661659351,3.86774591675377
"United Republic of Tanzania","East Africa",12,3.34940162607845,2.39375013572311,5.74315176180157
"Yemen","Middle East",77,0.100462980851123,0.12848003043871,0.228943011289833
"Zambia","South Africa",12,2.5158043683254,0.981687980470012,3.49749234879541
"Zimbabwe","South Africa",126,0.168915990291694,0.0704589836773303,0.239374973969024
