"gen_id","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"BR007.D0E1YACXX.4.250048298",-88.6864891620205,10.2494632369159,-28.87045702465,63.8603694199732,-25.2934294454444,38.3857334423903,-34.283954308452,44.6830326778092,-62.9516233285611,82.8884649658529
"BR012.D0E1YACXX.4.250048299",-10.7202757837037,-12.5142522007993,-23.244963166334,80.684961374821,-66.845090824484,-3.12293452093378,-50.3843459918147,-34.0943770557351,-61.7335348775861,-29.5299736885675
"BTx623.D0D0HACXX.5.250045895",95.9769997814042,53.1496051064127,23.9843373048078,44.356023232115,-2.92428389087914,56.7053010978157,20.5033743995085,-3.54726223085957,-17.440202445718,22.4518942982673
"Brandes.D0TFTACXX.5.250074199",94.716926796705,-233.909190544605,-16.7321529103562,51.2101668922633,-21.3786670276954,46.6179273685698,-5.96936325437507,129.143955676484,-31.4289763832526,-11.9397511541431
"CMS225.D0E1YACXX.4.250048302",59.8247672634091,13.2352290206792,-10.6523434377868,96.8655249161339,26.7554920531275,8.81594781745103,14.9101707994347,105.971457639985,-8.01571748360014,71.7703439497733
"IS1004.D0D0HACXX.5.250046281",85.5940941205637,-12.9745741098261,59.6703119215856,-26.0878647981125,-34.6179330859503,-111.209791807715,-103.762824837317,-21.0024337682974,15.0431187702322,-38.8564665034095
"IS10068.C1AB3ACXX.7.250137465",3.07710852802498,-18.2891439090333,5.47893466785682,-161.976097780295,-57.3213438437135,7.68967916916711,-21.6442431854455,56.7918887990372,80.4669094418339,-54.3639013067431
"IS10189.C1AB3ACXX.7.250137466",59.1657412125822,23.6032687914302,-71.3161179143639,-155.564387758571,11.0055069638829,-43.8464389262599,-8.54050833749056,-3.92613793239401,27.8169540522442,-1.20382956623505
"IS10191.C1AB3ACXX.7.250138387",-12.973388951466,51.5003197717073,-77.4034948410113,-42.5471767633373,-74.0877146347938,35.8911043431283,-30.9329278201423,36.0409713452832,-97.1961445171691,8.48254549044479
"IS10234.628NVAAXX.5.250006969",128.859129620453,-55.4825403155887,-11.9987206579848,-26.6957707319877,-128.145132364008,-88.6403173553047,-32.0005857912962,-10.0742256215714,16.2180058070213,-26.3533206645217
"IS10302.D0D0HACXX.5.250046333",83.2289293023415,-190.364950625828,1.34930645862552,-11.5412852139161,-70.4698706058258,88.3174346383666,-48.7187548888395,-39.7899330931014,-10.2409285365297,-45.3402588266576
"IS1033.C1AB3ACXX.7.250137245",-21.1272407514696,48.6735052808764,90.6504387233295,25.4007368988375,55.0251754068646,-40.3092652857478,1.44604074727229,-37.4710613441148,65.6323050383565,-77.152682746765
"IS1036.C1AB3ACXX.7.250137246",63.555321816129,-5.12546800243788,95.9940309835194,-46.2487234534473,7.07522825742062,-68.834436497856,-152.218687662459,7.52332860446101,43.9040157660411,-29.6462198773138
