"","x"
"116","IS14414.628P7AAXX.7.250007077"
"117","IS14444.C1AB3ACXX.7.250138421"
"118","IS14446.70MUKAAXX.2.250006019"
"119","IS14449.70MUKAAXX.2.250006046"
"120","IS14478.70MUKAAXX.2.250006051"
"121","IS14556.70MUKAAXX.2.250006075"
"122","IS14567.MRG.4.250047680"
"123","IS1464.C1AB3ACXX.7.250137264"
"124","IS1469.C1AB3ACXX.7.250137265"
"125","IS14719.MRG.4.250047681"
"126","IS1472.C1AB3ACXX.7.250137266"
"127","IS14724.C1AB3ACXX.7.250138424"
"128","IS14735.70MUKAAXX.2.250006039"
"129","IS1477.C1AB3ACXX.7.250137267"
"130","IS14779.D0D0HACXX.5.250046361"
"131","IS14861.D0D0HACXX.5.250046362"
"132","IS15170.D0D0HACXX.5.250046363"
"133","IS1520.C1AB3ACXX.7.250137268"
"134","IS1523.C1AB3ACXX.7.250137269"
"135","IS1540.C1AB3ACXX.7.250137270"
"136","IS15443.628P7AAXX.7.250007101"
"137","IS15466.70MUKAAXX.2.250006052"
"138","IS15478.70MUKAAXX.2.250006064"
"139","IS15744.D0D0HACXX.5.250046366"
"140","IS15752.628NVAAXX.5.250006903"
"141","IS15931.D0D0HACXX.5.250046367"
"142","IS15945.D0D0HACXX.5.250046368"
"143","IS16044.628NVAAXX.5.250006927"
"144","IS16125.628NVAAXX.5.250006951"
"145","IS16151.D0D0HACXX.5.250046369"
"146","IS16173.628NVAAXX.5.250006975"
"147","IS16186.628P7AAXX.7.250007031"
"148","IS16382.D0D0HACXX.5.250046370"
"149","IS16396.628P7AAXX.7.250007055"
"150","IS16528.D0D0HACXX.5.250046371"
"151","IS16545.628P7AAXX.7.250007079"
"152","IS17149.C1AB3ACXX.7.250138425"
"153","IS17185.C1AB3ACXX.7.250138426"
"154","IS17195.C1AB3ACXX.7.250138427"
"155","IS17196.C1AB3ACXX.7.250138428"
"156","IS17669.C1AB3ACXX.7.250138429"
"157","IS17671.C1AB3ACXX.7.250138430"
"158","IS17749.C1AB3ACXX.7.250138431"
"159","IS17752.C1AB3ACXX.7.250138432"
"160","IS17766.C1AB3ACXX.7.250138433"
"161","IS17815.C1AB3ACXX.7.250138434"
"162","IS17819.C1AB3ACXX.7.250138435"
"163","IS17857.C1AB3ACXX.7.250138436"
"164","IS17864.C1AB3ACXX.7.250138437"
"165","IS17872.C1AB3ACXX.7.250138438"
"166","IS17885.C1AB3ACXX.7.250138439"
"167","IS17891.C1AB3ACXX.7.250138440"
"168","IS17896.C1AB3ACXX.7.250138441"
"169","IS17905.C1AB3ACXX.7.250138442"
"170","IS17909.C1AB3ACXX.7.250138443"
"171","IS17912.C1AB3ACXX.7.250138444"
"172","IS17917.C1AB3ACXX.7.250138445"
"173","IS17919.C1AB3ACXX.7.250138446"
"174","IS17920.C1AB3ACXX.7.250138447"
"175","IS17921.C1AB3ACXX.7.250138448"
"176","IS17922.C1AB3ACXX.7.250138449"
"177","IS17925.C1AB3ACXX.7.250138450"
"178","IS17926.C1AB3ACXX.7.250138451"
"179","IS17929.C1AB3ACXX.7.250138452"
"180","IS17930.C1AB3ACXX.7.250138453"
"181","IS17933.C1AB3ACXX.7.250138454"
"182","IS17937.C1AB3ACXX.7.250138455"
"183","IS17941.MRG.4.250047478"
"184","IS17942.C1AB3ACXX.7.250138456"
"185","IS17958.C1AB3ACXX.7.250138457"
"186","IS17980.MRG.4.250047479"
"187","IS18039.MRG.4.250047480"
"188","IS18234.C1AB3ACXX.7.250138458"
"189","IS18235.C1AB3ACXX.7.250138459"
"190","IS18236.C1AB3ACXX.7.250138460"
"191","IS18238.C1AB3ACXX.7.250138461"
"192","IS18295.C1AB3ACXX.7.250138462"
"193","IS18303.C1AB3ACXX.7.250138463"
"194","IS19016.70MUKAAXX.2.250006066"
"195","IS19026.628P7AAXX.7.250007103"
"196","IS19041.70MUKAAXX.2.250006078"
"197","IS19126.D0D0HACXX.5.250046083"
"198","IS19132.628NVAAXX.5.250006905"
"199","IS19153.MRG.4.250047481"
"200","IS19262.D0D0HACXX.5.250046084"
"201","IS19389.MRG.4.250047483"
"202","IS19445.MRG.4.250047484"
"203","IS19450.MRG.4.250047485"
"204","IS19455.628NVAAXX.5.250006929"
"205","IS19466.628NVAAXX.5.250006953"
"206","IS19477.C1AB3ACXX.7.250138465"
"207","IS19485.C1AB3ACXX.7.250138466"
"208","IS19494.C1AB3ACXX.7.250138467"
"209","IS19507.C1AB3ACXX.7.250138468"
"210","IS19513.C1AB3ACXX.7.250138469"
"211","IS19520.C1AB3ACXX.7.250138470"
"212","IS19676.MRG.4.250047486"
"213","IS19677.C1AB3ACXX.7.250138471"
"214","IS19680.C1AB3ACXX.7.250138472"
"215","IS19685.628NVAAXX.5.250006977"
"216","IS19698.C1AB3ACXX.7.250138473"
"217","IS19700.C1AB3ACXX.7.250138474"
"218","IS19706.C1AB3ACXX.7.250138475"
"219","IS19732.C1AB3ACXX.7.250138476"
"220","IS19758.C1AB3ACXX.7.250138477"
"221","IS19804.C1AB3ACXX.7.250138478"
"222","IS19847.70MUKAAXX.2.250006012"
"223","IS19859.MRG.4.250047487"
"224","IS19946.C1AB3ACXX.7.250138479"
"225","IS19950.C1AB3ACXX.7.250138480"
"226","IS19953.628P7AAXX.7.250007033"
"227","IS19956.C1AB3ACXX.7.250138481"
"228","IS19962.C1AB3ACXX.7.250138482"
"229","IS19975.MRG.4.250047488"
"230","IS19978.C1AB3ACXX.7.250137625"
"231","IS19982.C1AB3ACXX.7.250137626"
"232","IS19988.C1AB3ACXX.7.250137627"
"233","IS19991.C1AB3ACXX.7.250137628"
"234","IS19998.C1AB3ACXX.7.250137629"
"235","IS20004.C1AB3ACXX.7.250137630"
"236","IS20016.628P7AAXX.7.250007057"
"237","IS20024.C1AB3ACXX.7.250137631"
"238","IS20027.C1AB3ACXX.7.250137632"
"239","IS20028.C1AB3ACXX.7.250137633"
"240","IS20049.C1AB3ACXX.7.250137634"
"241","IS20064.628P7AAXX.7.250007081"
"242","IS20073.C1AB3ACXX.7.250137635"
"243","IS20087.C1AB3ACXX.7.250137636"
"244","IS20097.628P7AAXX.7.250007105"
"245","IS20105.C1AB3ACXX.7.250137637"
"246","IS20116.C1AB3ACXX.7.250137638"
"247","IS20125.C1AB3ACXX.7.250137639"
"248","IS20146.C1AB3ACXX.7.250137640"
"249","IS20158.C1AB3ACXX.7.250137641"
"250","IS20164.C1AB3ACXX.7.250137642"
"251","IS20166.C1AB3ACXX.7.250137643"
"252","IS20173.C1AB3ACXX.7.250137644"
"253","IS20187.C1AB3ACXX.7.250137645"
"254","IS20195.MRG.4.250047489"
"255","IS20216.C1AB3ACXX.7.250137646"
"256","IS20230.C1AB3ACXX.7.250137648"
"257","IS20234.C1AB3ACXX.7.250137649"
"258","IS20243.C1AB3ACXX.7.250137650"
"259","IS20250.C1AB3ACXX.7.250137651"
"260","IS20261.C1AB3ACXX.7.250137652"
"261","IS20298.MRG.4.250047490"
"262","IS20300.C1AB3ACXX.7.250137653"
"263","IS20307.C1AB3ACXX.7.250137654"
"264","IS20314.C1AB3ACXX.7.250137655"
"265","IS20328.C1AB3ACXX.7.250137656"
"266","IS20345.C1AB3ACXX.7.250137657"
"267","IS20348.C1AB3ACXX.7.250137658"
"268","IS20351.628NVAAXX.5.250006907"
"269","IS20363.C1AB3ACXX.7.250137659"
"270","IS20364.C1AB3ACXX.7.250137660"
"271","IS20378.C1AB3ACXX.7.250137661"
"272","IS20398.C1AB3ACXX.7.250137662"
"273","IS20441.C1AB3ACXX.7.250137663"
"274","IS20448.C1AB3ACXX.7.250137664"
"275","IS20450.C1AB3ACXX.7.250137665"
"276","IS20452.C1AB3ACXX.7.250137666"
"277","IS20460.C1AB3ACXX.7.250137667"
"278","IS20463.C1AB3ACXX.7.250137668"
"279","IS20488.C1AB3ACXX.7.250137669"
"280","IS20490.C1AB3ACXX.7.250137670"
"281","IS20492.C1AB3ACXX.7.250137671"
"282","IS20497.C1AB3ACXX.7.250137672"
"283","IS20498.C1AB3ACXX.7.250137673"
"284","IS20625.MRG.4.250047491"
"285","IS20632.MRG.4.250047492"
"286","IS20679.MRG.4.250047493"
"287","IS20697.70MUKAAXX.2.250006067"
"288","IS20713.70MUKAAXX.2.250006013"
"289","IS20727.628NVAAXX.5.250006931"
"290","IS20740.MRG.4.250047497"
"291","IS20743.70MUKAAXX.2.250006034"
"292","IS20905.C1AB3ACXX.7.250137674"
"293","IS20956.MRG.4.250047500"
"294","IS21015.C1AB3ACXX.7.250137675"
"295","IS21055.C1AB3ACXX.7.250137676"
"296","IS21083.MRG.4.250047501"
"297","IS21124.628NVAAXX.5.250006955"
"298","IS21139.C1AB3ACXX.7.250137677"
"299","IS21155.C1AB3ACXX.7.250137678"
"300","IS21160.C1AB3ACXX.7.250137679"
"301","IS21169.C1AB3ACXX.7.250137680"
"302","IS21186.C1AB3ACXX.7.250137681"
"303","IS21309.C1AB3ACXX.7.250137682"
"304","IS21310.C1AB3ACXX.7.250137683"
"305","IS21323.C1AB3ACXX.7.250137684"
"306","IS21328.C1AB3ACXX.7.250137685"
"307","IS21343.C1AB3ACXX.7.250137686"
"308","IS21347.C1AB3ACXX.7.250137687"
"309","IS21403.C1AB3ACXX.7.250137688"
"310","IS21425.70MUKAAXX.2.250006057"
"311","IS21464.C1AB3ACXX.7.250137689"
"312","IS21512.MRG.4.250047502"
"313","IS21519.628NVAAXX.5.250006979"
"314","IS21521.C1AB3ACXX.7.250137690"
"315","IS21522.C1AB3ACXX.7.250137691"
"316","IS21535.C1AB3ACXX.7.250137692"
"317","IS21545.C1AB3ACXX.7.250137693"
"318","IS21546.C1AB3ACXX.7.250137694"
"319","IS21557.C1AB3ACXX.7.250137695"
"320","IS2156.628P7AAXX.7.250007017"
"321","IS21565.C1AB3ACXX.7.250137696"
"322","IS21583.C1AB3ACXX.7.250137697"
"323","IS21631.C1AB3ACXX.7.250137698"
"324","IS21645.MRG.4.250047503"
"325","IS21849.628P7AAXX.7.250007035"
"326","IS21863.MRG.4.250047504"
"327","IS21976.C1AB3ACXX.7.250137699"
"328","IS21982.C1AB3ACXX.7.250137701"
"329","IS21991.70MUKAAXX.2.250006093"
"330","IS21996.C1AB3ACXX.7.250137702"
"331","IS21997.C1AB3ACXX.7.250137703"
"332","IS22001.C1AB3ACXX.7.250137704"
"333","IS22019.C1AB3ACXX.7.250137706"
"334","IS22025.C1AB3ACXX.7.250137707"
"335","IS22026.C1AB3ACXX.7.250137708"
"336","IS22040.B064FABXX.1.250009992"
"337","IS2205.MRG.4.250047657"
"338","IS2206.C1AB3ACXX.7.250137271"
"339","IS22074.70MUKAAXX.2.250006006"
"340","IS22100.C1AB3ACXX.7.250137709"
"341","IS22104.C1AB3ACXX.7.250137710"
"342","IS22193.C1AB3ACXX.7.250137711"
"343","IS22239.70MUKAAXX.2.250006015"
"344","IS22282.628P7AAXX.7.250007059"
"345","IS22287.628P7AAXX.7.250007083"
"346","IS22291.70MUKAAXX.2.250006026"
"347","IS22294.628P7AAXX.7.250007107"
"348","IS22325.70MUKAAXX.2.250006036"
"349","IS22330.628NVAAXX.5.250006909"
"350","IS22334.628NVAAXX.5.250006933"
"351","IS22598.C1AB3ACXX.7.250137712"
"352","IS22601.C1AB3ACXX.7.250137713"
"353","IS22604.C1AB3ACXX.7.250137714"
"354","IS22608.C1AB3ACXX.7.250137715"
"355","IS22609.70MUKAAXX.2.250006070"
"356","IS22615.C1AB3ACXX.7.250137716"
"357","IS22616.MRG.4.250047509"
"358","IS22618.C1AB3ACXX.7.250137717"
"359","IS2262.628P7AAXX.7.250007041"
"360","IS2263.628P7AAXX.7.250007065"
"361","IS22701.C1AB3ACXX.7.250137718"
"362","IS22702.C1AB3ACXX.7.250137719"
"363","IS22720.MRG.4.250047510"
"364","IS22742.C1AB3ACXX.7.250137720"
"365","IS22746.D1EYBACXX.1.250137752"
"366","IS22751.D1EYBACXX.1.250137753"
"367","IS22785.D1EYBACXX.1.250137754"
"368","IS22789.D1EYBACXX.1.250137755"
"369","IS22792.D1EYBACXX.1.250137756"
"370","IS22799.MRG.4.250047511"
"371","IS22909.70MUKAAXX.2.250006094"
"372","IS22986.70MUKAAXX.2.250006007"
"373","IS22996.70MUKAAXX.2.250006016"
"374","IS23033.D0D0HACXX.5.250046087"
"375","IS23048.70MUKAAXX.2.250006027"
"376","IS23053.70MUKAAXX.2.250006037"
"377","IS23100.628NVAAXX.5.250006957"
"378","IS23108.D1EYBACXX.1.250137757"
"379","IS23142.628NVAAXX.5.250006981"
"380","IS23166.B064FABXX.1.250010004"
"381","IS23178.628P7AAXX.7.250007037"
"382","IS23184.D1EYBACXX.1.250137758"
"383","IS23188.D1EYBACXX.1.250137759"
"384","IS23216.MRG.4.250047513"
"385","IS23225.D1EYBACXX.1.250137760"
"386","IS23240.D1EYBACXX.1.250137761"
"387","IS23248.D1EYBACXX.1.250137762"
"388","IS23254.628P7AAXX.7.250007061"
"389","IS23262.D1EYBACXX.1.250137763"
"390","IS23263.D1EYBACXX.1.250137764"
"391","IS23275.D1EYBACXX.1.250137765"
"392","IS23283.D1EYBACXX.1.250137766"
"393","IS23298.D1EYBACXX.1.250137767"
"394","IS23306.D1EYBACXX.1.250137768"
"395","IS23308.D1EYBACXX.1.250137769"
"396","IS23319.D1EYBACXX.1.250137770"
"397","IS23322.D1EYBACXX.1.250137771"
"398","IS23335.D1EYBACXX.1.250137772"
"399","IS23341.D1EYBACXX.1.250137773"
"400","IS23357.D1EYBACXX.1.250137774"
"401","IS23358.D1EYBACXX.1.250137775"
"402","IS23363.D1EYBACXX.1.250137776"
"403","IS23366.D1EYBACXX.1.250137777"
"404","IS23367.D1EYBACXX.1.250137778"
"405","IS23370.D1EYBACXX.1.250137779"
"406","IS23373.D1EYBACXX.1.250137780"
"407","IS23375.D1EYBACXX.1.250137781"
"408","IS23376.D1EYBACXX.1.250137782"
"409","IS23514.MRG.4.250047514"
"410","IS23521.MRG.4.250047515"
"411","IS23574.70MUKAAXX.2.250006059"
"412","IS23579.MRG.4.250047516"
"413","IS23586.MRG.4.250047517"
"414","IS23590.MRG.4.250047518"
"415","IS23601.70MUKAAXX.2.250006071"
"416","IS23615.D1EYBACXX.1.250137783"
"417","IS23644.MRG.4.250047519"
"418","IS23645.628P7AAXX.7.250007085"
"419","IS23666.628P7AAXX.7.250007109"
"420","IS23669.628NVAAXX.5.250006911"
"421","IS2367.70MUKAAXX.1.250006437"
"422","IS23674.D1EYBACXX.1.250137785"
"423","IS23675.D1EYBACXX.1.250137786"
"424","IS23679.D1EYBACXX.1.250137787"
"425","IS23684.MRG.4.250047520"
"426","IS23685.D1EYBACXX.1.250137788"
"427","IS23687.D1EYBACXX.1.250137789"
"428","IS23693.D1EYBACXX.1.250137790"
"429","IS23694.D1EYBACXX.1.250137791"
"430","IS23698.D1EYBACXX.1.250137792"
"431","IS23700.D1EYBACXX.1.250137793"
"432","IS2371.C1AB3ACXX.7.250137272"
"433","IS23711.D1EYBACXX.1.250137794"
"434","IS23777.628NVAAXX.5.250006935"
"435","IS2379.D0D0HACXX.5.250046286"
"436","IS2382.D0D0HACXX.5.250046287"
"437","IS2389.D0D0HACXX.5.250046288"
"438","IS23891.MRG.4.250047521"
"439","IS2397.D0D0HACXX.5.250046289"
"440","IS2398.628P7AAXX.7.250007089"
"441","IS23992.B064FABXX.1.250009945"
"442","IS2413.D0D0HACXX.5.250046290"
"443","IS24139.MRG.4.250047523"
"444","IS2416.70MUKAAXX.1.250006449"
"445","IS24175.MRG.4.250047524"
"446","IS24218.MRG.4.250047525"
"447","IS2426.D0D0HACXX.5.250046291"
"448","IS24283.D1EYBACXX.1.250137795"
"449","IS24286.D1EYBACXX.1.250137797"
"450","IS24287.D1EYBACXX.1.250137798"
"451","IS24288.D1EYBACXX.1.250137799"
"452","IS24292.D1EYBACXX.1.250137800"
"453","IS24294.D1EYBACXX.1.250137801"
"454","IS24297.D1EYBACXX.1.250137802"
"455","IS24299.D1EYBACXX.1.250137803"
"456","IS2430.70MUKAAXX.1.250006461"
"457","IS24302.D1EYBACXX.1.250137804"
"458","IS24308.D1EYBACXX.1.250137805"
"459","IS24309.D1EYBACXX.1.250137806"
"460","IS24327.D1EYBACXX.1.250137807"
"461","IS24332.D1EYBACXX.1.250137808"
"462","IS24334.D1EYBACXX.1.250137809"
"463","IS24336.D1EYBACXX.1.250137810"
"464","IS24348.MRG.4.250047526"
"465","IS24360.D1EYBACXX.1.250137811"
"466","IS24369.D1EYBACXX.1.250137812"
"467","IS24379.D1EYBACXX.1.250137813"
"468","IS24386.D1EYBACXX.1.250137814"
"469","IS24389.D1EYBACXX.1.250137815"
"470","IS24413.D1EYBACXX.1.250137816"
"471","IS24416.D1EYBACXX.1.250137817"
"472","IS24453.MRG.4.250047527"
"473","IS24462.MRG.4.250047528"
"474","IS24463.MRG.4.250047529"
"475","IS24481.628NVAAXX.5.250006983"
"476","IS24492.MRG.4.250047530"
"477","IS24503.B064FABXX.1.250009965"
"478","IS24713.B064FABXX.1.250009985"
"479","IS24775.D0D0HACXX.5.250046090"
"480","IS24786.B064FABXX.1.250009997"
"481","IS24875.D1EYBACXX.1.250137819"
"482","IS24953.B064FABXX.1.250009946"
"483","IS25055.B064FABXX.1.250009954"
"484","IS25089.MRG.4.250047534"
"485","IS25098.D1EYBACXX.1.250137820"
"486","IS25249.MRG.4.250047535"
"487","IS25301.B064FABXX.1.250009986"
"488","IS25506.D1EYBACXX.1.250137821"
"489","IS25522.MRG.4.250047691"
"490","IS25523.MRG.4.250047692"
"491","IS25524.MRG.4.250047693"
"492","IS25543.D1EYBACXX.1.250137822"
"493","IS25548.MRG.4.250047537"
"494","IS25596.628P7AAXX.7.250007039"
"495","IS25670.D1EYBACXX.1.250137823"
"496","IS25690.D1EYBACXX.1.250137824"
"497","IS25694.D1EYBACXX.1.250137825"
"498","IS25702.628P7AAXX.7.250007063"
"499","IS25706.D1EYBACXX.1.250137826"
"500","IS25708.D1EYBACXX.1.250137827"
"501","IS25722.D1EYBACXX.1.250137828"
"502","IS25732.MRG.4.250047538"
"503","IS25733.B064FABXX.1.250009950"
"504","IS25752.D1EYBACXX.1.250137829"
"505","IS25766.D1EYBACXX.1.250137830"
"506","IS25772.D1EYBACXX.1.250137831"
"507","IS25783.D1EYBACXX.1.250137832"
"508","IS25798.D1EYBACXX.1.250137834"
"509","IS25804.D1EYBACXX.1.250137835"
"510","IS25812.D1EYBACXX.1.250137836"
"511","IS25816.D1EYBACXX.1.250137837"
"512","IS25836.B064FABXX.1.250010010"
"513","IS25839.D1EYBACXX.1.250137838"
"514","IS25848.D0D0HACXX.5.250046091"
"515","IS25865.D1EYBACXX.1.250137839"
"516","IS25877.D1EYBACXX.1.250137841"
"517","IS25888.D1EYBACXX.1.250137842"
"518","IS25910.B064FABXX.1.250010022"
"519","IS25912.D1EYBACXX.1.250137843"
"520","IS25913.D1EYBACXX.1.250137844"
"521","IS25921.D1EYBACXX.1.250137845"
"522","IS25931.D1EYBACXX.1.250137846"
"523","IS25936.D1EYBACXX.1.250137847"
"524","IS25945.D1EYBACXX.1.250138133"
"525","IS25966.D1EYBACXX.1.250138134"
"526","IS25985.D1EYBACXX.1.250138135"
"527","IS25987.D1EYBACXX.1.250138136"
"528","IS25989.MRG.4.250047541"
"529","IS26000.D1EYBACXX.1.250138137"
"530","IS26005.D1EYBACXX.1.250138138"
"531","IS26008.D1EYBACXX.1.250138139"
"532","IS26025.MRG.4.250047542"
"533","IS26031.D1EYBACXX.1.250138140"
"534","IS26046.MRG.4.250047543"
"535","IS26056.D1EYBACXX.1.250138141"
"536","IS26072.D1EYBACXX.1.250138142"
"537","IS26090.D1EYBACXX.1.250138143"
"538","IS26091.D1EYBACXX.1.250138144"
"539","IS26101.D1EYBACXX.1.250138145"
"540","IS26103.D1EYBACXX.1.250138146"
