"","1","2","3","4","5","6","7","8","9","10","gen_id","var"
"IS2379.D0D0HACXX.5.250046286",-0.844718859470063,-0.115095826429147,-8.42193532347937,-6.33459123837945,-3.7446913855816,-1.90715697554104,-3.26073400205693,0.763559182899876,-5.95973700827268,-1.78853097035332,"IS2379.D0D0HACXX.5.250046286","pet_min"
"IS2397.D0D0HACXX.5.250046289",4.30392884328839,-3.17376486809741,-10.3512520850795,-10.9755984541879,-1.79795724350192,-1.71997971582538,-2.7456124640525,-3.4517691545618,-8.06508979373123,2.93597224429926,"IS2397.D0D0HACXX.5.250046289","pet_min"
"IS4060.D0D0HACXX.5.250046298",-2.0857109794276,-3.97773158699385,-8.64993900899823,-7.38119977577782,-4.09690393161759,-0.940370690442437,-4.92752028543603,-0.275545831532838,-4.7550565406598,0.981649547696308,"IS4060.D0D0HACXX.5.250046298","pet_min"
"IS4092.D0D0HACXX.5.250046299",-0.213940143116162,0.163618688519384,-10.0975360130742,-5.52956429041971,-3.09518912230598,-1.1742458327443,-3.33338876154587,0.484356650852163,-4.21916961405581,-3.12502660034709,"IS4092.D0D0HACXX.5.250046299","pet_min"
"IS4360.D0D0HACXX.5.250046300",0.0876696412373234,-1.39808177255276,-5.5344800966074,-7.22810377412975,-4.04245110169489,-2.57929127483816,-5.28986119047051,1.17763668183746,-1.26139970285272,0.940629316096105,"IS4360.D0D0HACXX.5.250046300","pet_min"
"IS4372.D0D0HACXX.5.250046301",0.147488781090009,-0.471011614253221,-3.95382308398695,-3.32736925066624,-2.55176850518935,-1.89518200386561,-4.32441717724914,1.35724272764371,-3.41654141955428,1.0685777088651,"IS4372.D0D0HACXX.5.250046301","pet_min"
"IS4515.D0D0HACXX.5.250046302",4.21374906628741,2.43414354271398,-7.36703674921834,-1.24132081336684,1.251343304571,-2.62258701840809,-3.36201261921662,1.61416146628689,-3.94378571869903,2.97509371074495,"IS4515.D0D0HACXX.5.250046302","pet_min"
"IS4581.D0D0HACXX.5.250046303",5.29923039628397,2.55343747511234,-5.69588765601856,-1.76856660934178,1.27669602694733,-1.53408825140068,-3.39735806420462,1.00879109980361,-2.98526097578047,2.86962862597002,"IS4581.D0D0HACXX.5.250046303","pet_min"
"IS4613.D0D0HACXX.5.250046304",4.36652433152946,2.35062650197139,0.093589092551289,-7.61334045922176,-0.793075843582431,-1.69882929941849,-3.47330119547822,1.20122674111571,1.37623555512153,2.21410106449147,"IS4613.D0D0HACXX.5.250046304","pet_min"
"IS4631.D0D0HACXX.5.250046305",4.18887780168565,4.75742013611856,-7.99173549286019,0.141725429291114,0.313596173235879,-1.9776971067841,-2.99438106119626,1.77814602098393,-3.38188134798548,2.77133365693169,"IS4631.D0D0HACXX.5.250046305","pet_min"
"IS4698.D0D0HACXX.5.250046306",2.1355477416045,-0.525446208060146,-8.78016929007778,-1.96269870670359,0.10233979872818,-2.88596606250464,-3.95024599802586,1.02880816739775,-4.39507558785852,2.3801642655859,"IS4698.D0D0HACXX.5.250046306","pet_min"
"IS4951.D0D0HACXX.5.250046307",-0.447939785265409,1.35821419025418,-1.91145846227386,-5.2418878796827,-0.709608684717195,-1.0885419983895,-5.69251751573039,0.922410443175245,-4.51684586882676,0.710244525687642,"IS4951.D0D0HACXX.5.250046307","pet_min"
"IS5094.D0D0HACXX.5.250046308",2.40788795109051,0.78581053743619,-5.26710043025111,-1.20659265174231,0.134196698843179,-1.91822047278812,-3.84206352450998,1.7787840216882,0.916180460345391,3.26859282877065,"IS5094.D0D0HACXX.5.250046308","pet_min"
"IS5295.D0D0HACXX.5.250046309",-0.858524242884492,1.4322298727596,-3.67062483359181,-9.78322803275926,-2.24551612914732,-0.9679540918278,-5.42241628999998,-0.400875388019703,-5.65440293051238,-0.205294340098018,"IS5295.D0D0HACXX.5.250046309","pet_min"
