"","1","2","3","4","5","6","7","8","9","10","gen_id","var"
"IS2379.D0D0HACXX.5.250046286",0.0434853166807476,0.975942532124447,0.791919155234884,-0.23141760881379,0.8321174978579,0.344049712179953,0.00302410820945193,0.596375172598429,0.245794093459218,0.560112213562766,"IS2379.D0D0HACXX.5.250046286","topsoil_pH"
"IS2397.D0D0HACXX.5.250046289",-0.375900668694889,0.837750743717802,0.593797788962144,0.834726549051168,0.417504442437126,1.36618572345027,-0.136065607891426,-0.0962066296122931,0.0257123714554292,0.693897466001808,"IS2397.D0D0HACXX.5.250046289","topsoil_pH"
"IS4060.D0D0HACXX.5.250046298",1.05176744175554,1.31614504455081,1.10756479583156,0.970561405302971,1.58405257386923,1.61096307546084,0.25410401484425,0.629510302365695,0.835270164939765,0.620062137359414,"IS4060.D0D0HACXX.5.250046298","topsoil_pH"
"IS4092.D0D0HACXX.5.250046299",-0.631256657045786,0.457193724210964,-0.210103980974466,-1.9027964138923,0.199487295317958,0.00121773284941759,-0.487455844461506,0.553070302713412,-0.270562359249512,0.140769671774539,"IS4092.D0D0HACXX.5.250046299","topsoil_pH"
"IS4360.D0D0HACXX.5.250046300",0.915230500757937,1.50477605896739,1.10225814045674,0.617253606501162,1.34917218205347,1.47249998951883,0.431494178040718,0.50218868632076,0.48054393571538,0.424534722856239,"IS4360.D0D0HACXX.5.250046300","topsoil_pH"
"IS4372.D0D0HACXX.5.250046301",1.43171159821137,1.63407786933969,1.45315489026751,0.806344734012748,1.79216396401636,1.69252485397596,0.473087561633089,0.96067425824072,0.847630890437774,0.562753128570283,"IS4372.D0D0HACXX.5.250046301","topsoil_pH"
"IS4515.D0D0HACXX.5.250046302",0.661708086733767,1.45989532198921,1.17821959031095,0.113305684949296,0.590259381531214,1.60617799767257,0.470882830936088,0.72074999698328,0.813663103387241,0.309154326350223,"IS4515.D0D0HACXX.5.250046302","topsoil_pH"
"IS4581.D0D0HACXX.5.250046303",1.04566918175985,1.96207766196108,1.16596727389819,0.00555799636824478,0.83639679722925,1.78730903999997,0.591122022807805,0.756760710082032,0.958120707247062,0.467909997365818,"IS4581.D0D0HACXX.5.250046303","topsoil_pH"
"IS4613.D0D0HACXX.5.250046304",0.694086507307837,2.01925746938103,1.21700011583569,1.03956791728309,1.03047929973405,1.63390405497431,0.458008234794118,0.777413292947306,0.698178569147407,0.00899592396902967,"IS4613.D0D0HACXX.5.250046304","topsoil_pH"
"IS4631.D0D0HACXX.5.250046305",0.997488834328976,1.4452134477633,1.23285601319063,0.295055797800333,0.981661611098366,1.77177349273209,0.463098216478459,0.938929810240689,0.959168910895559,0.491645251356434,"IS4631.D0D0HACXX.5.250046305","topsoil_pH"
