"","1","2","3","4","5","6","7","8","9","10","gen_id","var"
"IS2379.D0D0HACXX.5.250046286",227.251428510791,49.6976254107086,506.02519833315,68.8895226516104,364.027320937159,136.841658664763,34.6140899816601,-101.315071202594,367.053914908033,154.07644933601,"IS2379.D0D0HACXX.5.250046286","Tmp.Seas"
"IS2397.D0D0HACXX.5.250046289",-32.8911125925349,190.971326001143,482.31425075161,388.963544958368,108.623086152772,268.739072378012,-2.93822173317537,-152.010840974497,472.860837149313,170.953455511049,"IS2397.D0D0HACXX.5.250046289","Tmp.Seas"
"IS4060.D0D0HACXX.5.250046298",596.709588176213,563.938304312968,764.312454489971,532.507058051674,773.45486117751,301.083688032651,335.087427237325,150.007665419676,553.795532366896,231.058645766785,"IS4060.D0D0HACXX.5.250046298","Tmp.Seas"
"IS4092.D0D0HACXX.5.250046299",532.131068889713,402.271674712347,829.864769856851,130.405804344665,553.542439885576,311.568228799046,216.392101760548,198.765227967615,489.151961540211,407.034327839662,"IS4092.D0D0HACXX.5.250046299","Tmp.Seas"
"IS4360.D0D0HACXX.5.250046300",554.056553678844,491.482138038064,671.937093592899,352.073382166135,616.547846635719,337.535894806967,344.11415582848,-7.37949413246787,344.808132920373,245.135879004497,"IS4360.D0D0HACXX.5.250046300","Tmp.Seas"
"IS4372.D0D0HACXX.5.250046301",381.994718548599,215.644147436687,451.151172865438,-23.367359564457,469.100640661623,239.434975133511,249.217005212184,-10.7966459909754,386.535089552429,212.31172190413,"IS4372.D0D0HACXX.5.250046301","Tmp.Seas"
"IS4515.D0D0HACXX.5.250046302",80.0427490183411,177.301529645135,458.686737629968,-127.742843384074,40.6190963034191,230.750876197714,133.415594787688,-71.8651855911838,529.878020002937,13.717970157897,"IS4515.D0D0HACXX.5.250046302","Tmp.Seas"
"IS4581.D0D0HACXX.5.250046303",94.8478914280224,199.394932463352,422.155877084093,-139.648790715515,18.2132526395055,260.872356541598,135.78887842122,-30.7020664611836,429.4290429912,72.9745278211674,"IS4581.D0D0HACXX.5.250046303","Tmp.Seas"
"IS4613.D0D0HACXX.5.250046304",6.57105410301944,101.036416417171,444.084912685446,333.468892090518,143.545468178185,207.990362558704,118.247896804523,-71.0939808519816,122.697770707113,14.1055304761729,"IS4613.D0D0HACXX.5.250046304","Tmp.Seas"
"IS4631.D0D0HACXX.5.250046305",83.8374930892863,15.1443288942343,483.895745900254,-147.4285305994,154.00508848781,263.243665256479,109.965973079687,13.7915626195839,451.509101231389,18.7470664305999,"IS4631.D0D0HACXX.5.250046305","Tmp.Seas"
"IS4698.D0D0HACXX.5.250046306",-35.9355178710589,80.9787039891076,359.498888110339,-272.321376177032,-58.3438821483512,183.978571814524,77.3229094481359,-151.897067124423,389.7850916401,-83.6922358737396,"IS4698.D0D0HACXX.5.250046306","Tmp.Seas"
"IS4951.D0D0HACXX.5.250046307",290.195663213506,121.606666475677,305.47030468618,60.4746671762435,161.562105348517,143.200617734558,301.507732985513,-111.367161131767,363.508318118208,44.5691003028016,"IS4951.D0D0HACXX.5.250046307","Tmp.Seas"
"IS5094.D0D0HACXX.5.250046308",6.8299724007574,186.601956121814,516.687407395631,-96.4605172915955,194.830102179893,166.983469339089,131.158151193813,-279.54757274862,132.637249673803,-63.3768812947618,"IS5094.D0D0HACXX.5.250046308","Tmp.Seas"
"IS5295.D0D0HACXX.5.250046309",245.686991874308,-70.5505179175137,303.11990023675,73.5082068589739,323.671241503038,177.875222081735,151.04056180064,-158.280008077186,420.3550038609,66.1607966015224,"IS5295.D0D0HACXX.5.250046309","Tmp.Seas"
"IS5301.D0D0HACXX.5.250046310",-77.904250225217,59.0420665029284,420.58481063285,-192.71663749598,30.455774080718,225.049275021161,56.8211874004011,-93.2895411525883,433.151890397357,30.0471847250847,"IS5301.D0D0HACXX.5.250046310","Tmp.Seas"
"IS5386.D0D0HACXX.5.250046311",-163.093177717999,-177.675315460325,158.369360918884,133.914073873566,-169.30257714657,96.8993965257342,-57.5026755776317,-275.228481690768,306.89373572499,-60.1023666860426,"IS5386.D0D0HACXX.5.250046311","Tmp.Seas"
"IS5667.D0D0HACXX.5.250046312",-89.7207324622847,43.5505427925107,275.11882274211,-35.848970915165,27.9796044955571,164.778664236778,65.8957527885339,-295.132999672853,119.034099911414,-73.9808546909349,"IS5667.D0D0HACXX.5.250046312","Tmp.Seas"
"IS5919.D0D0HACXX.5.250046313",533.100384180047,245.036736760328,701.104730418614,93.3912435136767,553.817247200791,366.675481036135,236.807833096989,-26.8767747847204,565.530170781596,113.573109505206,"IS5919.D0D0HACXX.5.250046313","Tmp.Seas"
"IS6351.628NVAAXX.5.250006919",-55.8791048169193,-138.118554866599,411.984100429818,-244.39201876282,67.9291642144667,174.678965697741,84.8889809947732,-133.819286192198,42.1546267244231,-14.8299129549117,"IS6351.628NVAAXX.5.250006919","Tmp.Seas"
"IS6354.D0D0HACXX.5.250046315",-68.8020791129805,-126.375175919858,409.228658533091,-238.453526609276,80.7264334807903,169.255366729523,82.6326139720441,-140.065798744389,33.7180273105719,-12.3217312521272,"IS6354.D0D0HACXX.5.250046315","Tmp.Seas"
"IS6421.D0D0HACXX.5.250046316",-55.8151114114182,-55.432143690614,468.134434118197,-99.1682134746533,97.4818196373952,208.768159517481,99.3230085806162,-305.727295460311,59.8163802094521,-28.8065206157036,"IS6421.D0D0HACXX.5.250046316","Tmp.Seas"
"IS7305.D0D0HACXX.5.250046319",94.8743464189268,-142.483166688728,386.459523112219,-97.0430047721635,301.833744956897,21.9155498676393,-15.8710645959438,-14.3736942353336,100.401601595547,83.1719543770631,"IS7305.D0D0HACXX.5.250046319","Tmp.Seas"
"IS7310.D0D0HACXX.5.250046320",179.523948923482,-36.0811198302717,188.542767712734,17.2659284808681,259.045219091879,144.594575504868,25.7451008442017,-100.778219513738,191.975065019414,19.5569918376189,"IS7310.D0D0HACXX.5.250046320","Tmp.Seas"
"IS7679.D0D0HACXX.5.250046321",39.7375761179745,-85.6358082136201,61.6589190001547,-97.8861861784682,248.462962849865,5.54679445887635,30.8928698976641,-96.9861617416633,168.553486982618,-12.7178285258509,"IS7679.D0D0HACXX.5.250046321","Tmp.Seas"
"IS7957.D0D0HACXX.5.250046322",126.757001440899,-84.1657268469168,183.99753909399,-58.3127717164424,199.036203305213,62.0630661463766,78.9294009156951,-108.348139261955,111.016487867628,1.44866782468623,"IS7957.D0D0HACXX.5.250046322","Tmp.Seas"
"IS7987.D0D0HACXX.5.250046323",78.3775380278873,-73.1365614426861,222.118087623435,-11.6832435915752,218.321587058879,97.3242258272743,69.2869470565177,-124.208191368585,82.4021808037623,28.8561623895655,"IS7987.D0D0HACXX.5.250046323","Tmp.Seas"
"IS8777.D0D0HACXX.5.250046327",-256.751482128916,-373.436798645739,-31.0295299511891,28.273938529583,140.149080072646,-28.1816389943561,-114.376883617108,-294.227014529143,266.445970898151,-145.527600390987,"IS8777.D0D0HACXX.5.250046327","Tmp.Seas"
"IS8916.D0D0HACXX.5.250046328",-232.699807742172,-332.412376667694,70.355414846504,-181.193188903671,134.84369819652,-102.813351753208,-131.188818741729,-280.940068086033,46.1827233361566,-176.126899302114,"IS8916.D0D0HACXX.5.250046328","Tmp.Seas"
"IS9108.D0D0HACXX.5.250046329",-208.868812908919,-349.283001323531,-121.002148401664,-227.366679784262,153.35194789768,-93.7725076646961,-178.188685113053,-119.202772930855,17.2088632273156,-58.0893032674332,"IS9108.D0D0HACXX.5.250046329","Tmp.Seas"
"IS9113.D0D0HACXX.5.250046330",-271.425862715153,-505.647979807184,61.1653977612578,-38.4565813975012,134.526819153701,-70.8183171752154,-171.317150480892,-175.967986616848,-135.451442726362,-1.38310016108092,"IS9113.D0D0HACXX.5.250046330","Tmp.Seas"
"IS9745.D0D0HACXX.5.250046332",49.5964453761824,-56.8880546609729,212.119869148092,74.4847680874574,271.191110563133,38.9029902917544,-85.2072153607606,-125.762655116922,69.0335427079705,21.3771705310545,"IS9745.D0D0HACXX.5.250046332","Tmp.Seas"
"IS11473.D0D0HACXX.5.250046338",43.1053053460321,-13.7033258333258,110.533384139419,-13.2818546349402,367.788689977494,21.5509073735372,15.8623087338616,-195.270004832332,89.5291876235495,64.0537142804235,"IS11473.D0D0HACXX.5.250046338","Tmp.Seas"
"IS11619.D0D0HACXX.5.250046339",-2.80096117090199,-101.300441815859,-0.153246970919095,-267.620714818601,89.7169067299937,-75.4644094945153,-73.4906254189117,-276.832005853199,242.386394701562,-44.6618864376918,"IS11619.D0D0HACXX.5.250046339","Tmp.Seas"
"IS11919.D0D0HACXX.5.250046340",-42.4290659227198,-61.9232586201025,-12.6108704959513,-221.980519947562,55.8856030348081,-73.0681245089609,-10.2772294160228,-253.731434417473,231.581992902463,-7.83063120003081,"IS11919.D0D0HACXX.5.250046340","Tmp.Seas"
"IS12804.628P7AAXX.7.250007027",595.470106385049,627.392340193906,771.856051217331,559.89021936658,404.747048946344,314.602500210777,283.960448070902,128.951293476046,611.406184972371,222.847247748061,"IS12804.628P7AAXX.7.250007027","Tmp.Seas"
"IS13782.D0D0HACXX.5.250046354",21.6459748872035,293.349749996408,456.443641309917,326.504344593925,129.737620530356,282.413934064098,27.8691196129139,-85.3627853566309,373.933230323438,171.952775356316,"IS13782.D0D0HACXX.5.250046354","Tmp.Seas"
"IS13893.D0D0HACXX.5.250046355",-1.78832689431531,234.221789165822,510.656648745304,298.354832125784,182.832105414977,300.545213250991,26.1945505090918,-103.111045528209,434.083121666833,85.0098417277313,"IS13893.D0D0HACXX.5.250046355","Tmp.Seas"
"IS13919.D0D0HACXX.5.250046356",13.2271257910825,145.648048622321,498.634224938483,353.620531980884,134.575915339914,291.13514585217,53.895382920311,-99.9798382792033,456.289478941489,169.365608119077,"IS13919.D0D0HACXX.5.250046356","Tmp.Seas"
"IS13971.D0D0HACXX.5.250046357",47.0882560408605,240.094698119955,491.744167739556,272.694586612485,235.832240670828,294.032215950108,35.9293397095791,-112.112264124278,440.674438161058,37.8831215671347,"IS13971.D0D0HACXX.5.250046357","Tmp.Seas"
"IS14010.D0D0HACXX.5.250046358",5.60091076073135,269.104681016608,525.854491709995,379.502068533997,304.29104713911,253.308700073384,16.2540266041098,-54.8339366883856,218.490377484141,50.7725552951496,"IS14010.D0D0HACXX.5.250046358","Tmp.Seas"
"IS17941.MRG.4.250047478",551.420003517478,231.157785930628,768.887696430182,279.293854472115,632.300105183742,346.19082902453,426.998354395896,-51.8042101515464,486.737780227382,419.77226394115,"IS17941.MRG.4.250047478","Tmp.Seas"
"IS17980.MRG.4.250047479",73.9670505342881,406.00531436692,723.115690819339,-102.165704487507,222.707235934078,288.997770101276,131.811246059821,-23.1256904304088,530.769344460836,62.601798426868,"IS17980.MRG.4.250047479","Tmp.Seas"
"IS18039.MRG.4.250047480",238.709152438979,439.644872784548,488.794747346733,-47.4314163944743,218.820037160012,255.452121752981,216.245962397484,-19.3419911381264,487.595916755057,45.3593408191708,"IS18039.MRG.4.250047480","Tmp.Seas"
"IS19153.MRG.4.250047481",39.7851231101805,-232.605073596007,212.13148867177,-209.311541602796,251.833551717628,20.6847721421176,-48.2459035734405,-209.987720034678,124.963870742868,-52.6744689305386,"IS19153.MRG.4.250047481","Tmp.Seas"
"IS19262.D0D0HACXX.5.250046084",-107.148167709116,47.4320211327011,128.60932138261,144.340434162926,67.1331594537712,163.350859552626,7.60910213931948,-265.447803159299,176.155374538511,8.12402989403587,"IS19262.D0D0HACXX.5.250046084","Tmp.Seas"
"IS19859.MRG.4.250047487",685.885754433648,648.63547799011,766.745774764883,101.633250299698,640.079585729728,348.020580876158,250.10365373471,-46.6604928445407,607.153810341948,266.764753156803,"IS19859.MRG.4.250047487","Tmp.Seas"
