"","holding_country","origCty","n","hold_lat","hold_long","orig_lat","orig_long"
"2","Albania","Colombia",1,41.1416589489166,20.0610827672695,4.18775387735274,-72.6445066243485
"3","Albania","United Kingdom",1,41.1416589489166,20.0610827672695,53.9784473508021,-2.85294390932926
"4","Albania","Israel",3,41.1416589489166,20.0610827672695,31.5135422200432,35.027923472437
"5","Albania","Italy",1,41.1416589489166,20.0610827672695,42.9820112761427,12.7636571661231
"6","Albania","Pakistan",1,41.1416589489166,20.0610827672695,30.1161883714109,69.0883509076965
"7","Albania","Romania",1,41.1416589489166,20.0610827672695,45.8245489439759,25.0941582015633
"8","Albania","Sudan",1,41.1416589489166,20.0610827672695,15.6706023098426,29.9514582835941
"9","Albania","United States",5,41.1416589489166,20.0610827672695,38.8208089190304,-96.3316166082964
"10","United Arab Emirates","Botswana",1,24.1825029230913,54.2792052578958,-22.2366090020629,23.8577995699561
"11","United Arab Emirates","China",26,24.1825029230913,54.2792052578958,38.0732548110573,104.691138558496
"12","United Arab Emirates","Cameroon",1,24.1825029230913,54.2792052578958,6.29416848748099,12.9484741423983
"13","United Arab Emirates","Ethiopia",4,24.1825029230913,54.2792052578958,8.7293895570484,39.9149028865443
"14","United Arab Emirates","Hungary",1,24.1825029230913,54.2792052578958,47.2252733248629,19.3962004836614
"15","United Arab Emirates","India",115,24.1825029230913,54.2792052578958,23.5863005677467,81.1730040853018
"16","United Arab Emirates","Israel",2,24.1825029230913,54.2792052578958,31.5135422200432,35.027923472437
"17","United Arab Emirates","Lebanon",11,24.1825029230913,54.2792052578958,33.9116017072209,35.8965194632475
"18","United Arab Emirates","Mali",1,24.1825029230913,54.2792052578958,17.1681462085848,-4.34639984178115
"19","United Arab Emirates","Niger",1,24.1825029230913,54.2792052578958,17.0810539240729,8.86863247002646
"20","United Arab Emirates","Nigeria",3,24.1825029230913,54.2792052578958,9.61029352034213,8.14771484525619
"21","United Arab Emirates","Sudan",9,24.1825029230913,54.2792052578958,15.6706023098426,29.9514582835941
"22","United Arab Emirates","Russia",4,24.1825029230913,54.2792052578958,59.0394342141062,98.6704990698032
"23","United Arab Emirates","United States",82,24.1825029230913,54.2792052578958,38.8208089190304,-96.3316166082964
"24","United Arab Emirates","Venezuela",16,24.1825029230913,54.2792052578958,7.14832476050711,-66.3649213598513
"25","United Arab Emirates","South Africa",1,24.1825029230913,54.2792052578958,-28.5536193067973,24.7525274648908
"26","United Arab Emirates","Zimbabwe",2,24.1825029230913,54.2792052578958,-18.9270012198147,29.7178296407208
"28","Australia","Afghanistan",1,-25.6973376739831,134.022771709162,34.1340260137693,66.5921613109528
"29","Australia","Angola",2,-25.6973376739831,134.022771709162,-12.1674240626679,17.651768783079
"30","Australia","Argentina",14,-25.6973376739831,134.022771709162,-35.6972705181201,-64.5323850384308
"32","Australia","Burundi",3,-25.6973376739831,134.022771709162,-3.26125199327864,29.8851822784529
"33","Australia","Benin",5,-25.6973376739831,134.022771709162,9.50301319961589,2.30571452883021
"34","Australia","Burkina Faso",40,-25.6973376739831,134.022771709162,12.1087090363127,-1.69328162118423
"35","Australia","Brazil",3,-25.6973376739831,134.022771709162,-11.5246304164267,-54.3552066082564
"36","Australia","Botswana",40,-25.6973376739831,134.022771709162,-22.2366090020629,23.8577995699561
"37","Australia","Central African Republic",2,-25.6973376739831,134.022771709162,6.33139003394432,20.5207434193973
"38","Australia","Canada",1,-25.6973376739831,134.022771709162,57.5504800446556,-98.4168051786806
"39","Australia","Chile",1,-25.6973376739831,134.022771709162,-37.8293828304997,-70.7686343173922
"40","Australia","China",120,-25.6973376739831,134.022771709162,38.0732548110573,104.691138558496
"41","Australia","Ivory Coast",1,-25.6973376739831,134.022771709162,7.53677927942131,-5.57171019491773
"42","Australia","Cameroon",32,-25.6973376739831,134.022771709162,6.29416848748099,12.9484741423983
"43","Australia","Germany",1,-25.6973376739831,134.022771709162,51.0830453980048,10.4261714274308
"44","Australia","Algeria",10,-25.6973376739831,134.022771709162,28.3509697448891,2.65584647197691
"45","Australia","Egypt",8,-25.6973376739831,134.022771709162,26.6051703445063,30.2401354350123
"46","Australia","Ethiopia",238,-25.6973376739831,134.022771709162,8.7293895570484,39.9149028865443
"47","Australia","France",18,-25.6973376739831,134.022771709162,46.6423682169416,2.19402366278862
"48","Australia","United Kingdom",4,-25.6973376739831,134.022771709162,53.9784473508021,-2.85294390932926
"49","Australia","Ghana",4,-25.6973376739831,134.022771709162,7.94530467243628,-1.21923336252658
"50","Australia","Gambia",7,-25.6973376739831,134.022771709162,13.4286179591893,-15.3833803858697
"51","Australia","Guatemala",3,-25.6973376739831,134.022771709162,15.8208785153527,-90.3121934911962
"52","Australia","Honduras",15,-25.6973376739831,134.022771709162,14.74037069575,-86.4925167900696
"53","Australia","Hungary",12,-25.6973376739831,134.022771709162,47.2252733248629,19.3962004836614
"54","Australia","Indonesia",4,-25.6973376739831,134.022771709162,0.155919799590377,113.965382468473
"55","Australia","India",1075,-25.6973376739831,134.022771709162,23.5863005677467,81.1730040853018
"56","Australia","Israel",5,-25.6973376739831,134.022771709162,31.5135422200432,35.027923472437
"57","Australia","Italy",1,-25.6973376739831,134.022771709162,42.9820112761427,12.7636571661231
"58","Australia","Jamaica",3,-25.6973376739831,134.022771709162,18.1220788934165,-77.3035889454278
"59","Australia","Japan",22,-25.6973376739831,134.022771709162,36.7673883259783,137.469342343518
"60","Australia","Kenya",37,-25.6973376739831,134.022771709162,0.689918231837618,37.9530941126237
